date;open;high;low;close
02/01/2024 00:01;9888;9888;9876;9876
02/01/2024 00:02;9888;9900;9888;9900
02/01/2024 00:03;9900;9912;9900;9912
02/01/2024 00:04;9912;9924;9912;9924
02/01/2024 00:05;9924;9936;9924;9936
02/01/2024 00:06;9936;9948;9936;9948
02/01/2024 00:07;9948;9960;9948;9960
02/01/2024 00:08;9948;9948;9936;9936
02/01/2024 00:09;9948;9960;9948;9960
02/01/2024 00:10;9960;9972;9960;9972
02/01/2024 00:11;9972;9984;9972;9984
02/01/2024 00:12;9984;9996;9984;9996
02/01/2024 00:13;9996;10008;9996;10008
02/01/2024 00:14;10008;10020;10008;10020
02/01/2024 00:15;10008;10008;9996;9996
02/01/2024 00:16;9996;9996;9984;9984
02/01/2024 00:17;9984;9984;9972;9972
02/01/2024 00:18;9972;9972;9960;9960
02/01/2024 00:19;9960;9960;9948;9948
02/01/2024 00:20;9948;9948;9936;9936
02/01/2024 00:21;9936;9936;9924;9924
02/01/2024 00:22;9936;9948;9936;9948
02/01/2024 00:23;9936;9936;9924;9924
02/01/2024 00:24;9924;9924;9912;9912
02/01/2024 00:25;9912;9912;9900;9900
02/01/2024 00:26;9900;9900;9888;9888
02/01/2024 00:27;9888;9888;9876;9876
02/01/2024 00:28;9876;9876;9864;9864
02/01/2024 00:29;9876;9888;9876;9888
02/01/2024 00:30;9888;9900;9888;9900
02/01/2024 00:31;9900;9912;9900;9912
02/01/2024 00:32;9912;9924;9912;9924
02/01/2024 00:33;9924;9936;9924;9936
02/01/2024 00:34;9936;9948;9936;9948
02/01/2024 00:35;9948;9960;9948;9960
02/01/2024 00:36;9960;9972;9960;9972
02/01/2024 00:37;9960;9960;9948;9948
02/01/2024 00:38;9948;9948;9936;9936
02/01/2024 00:39;9936;9936;9924;9924
02/01/2024 00:40;9924;9924;9912;9912
02/01/2024 00:41;9912;9912;9900;9900
02/01/2024 00:42;9900;9900;9888;9888
02/01/2024 00:43;9888;9888;9876;9876
02/01/2024 00:44;9888;9900;9888;9900
02/01/2024 00:45;9900;9912;9900;9912
02/01/2024 00:46;9900;9900;9888;9888
02/01/2024 00:47;9888;9888;9876;9876
02/01/2024 00:48;9876;9876;9864;9864
02/01/2024 00:49;9864;9864;9852;9852
02/01/2024 00:50;9864;9876;9864;9876
02/01/2024 00:51;9876;9888;9876;9888
02/01/2024 00:52;9888;9900;9888;9900
02/01/2024 00:53;9900;9912;9900;9912
02/01/2024 00:54;9912;9924;9912;9924
02/01/2024 00:55;9924;9936;9924;9936
02/01/2024 00:56;9936;9948;9936;9948
02/01/2024 00:57;9948;9960;9948;9960
02/01/2024 00:58;9960;9972;9960;9972
02/01/2024 00:59;9972;9984;9972;9984
02/01/2024 01:00;9984;9996;9984;9996
02/01/2024 01:01;9996;10008;9996;10008
02/01/2024 01:02;9996;9996;9984;9984
02/01/2024 01:03;9984;9984;9972;9972
02/01/2024 01:04;9972;9972;9960;9960
02/01/2024 01:05;9972;9984;9972;9984
02/01/2024 01:06;9984;9996;9984;9996
02/01/2024 01:07;9984;9984;9972;9972
02/01/2024 01:08;9972;9972;9960;9960
02/01/2024 01:09;9960;9960;9948;9948
02/01/2024 01:10;9948;9948;9936;9936
02/01/2024 01:11;9936;9936;9924;9924
02/01/2024 01:12;9924;9924;9912;9912
02/01/2024 01:13;9912;9912;9900;9900
02/01/2024 01:14;9900;9900;9888;9888
02/01/2024 01:15;9888;9888;9876;9876
02/01/2024 01:16;9876;9876;9864;9864
02/01/2024 01:17;9864;9864;9852;9852
02/01/2024 01:18;9864;9876;9864;9876
02/01/2024 01:19;9864;9864;9852;9852
02/01/2024 01:20;9852;9852;9840;9840
02/01/2024 01:21;9840;9840;9828;9828
02/01/2024 01:22;9828;9828;9816;9816
02/01/2024 01:23;9816;9816;9804;9804
02/01/2024 01:24;9816;9828;9816;9828
02/01/2024 01:25;9828;9840;9828;9840
02/01/2024 01:26;9840;9852;9840;9852
02/01/2024 01:27;9852;9864;9852;9864
02/01/2024 01:28;9864;9876;9864;9876
02/01/2024 01:29;9876;9888;9876;9888
02/01/2024 01:30;9888;9900;9888;9900
02/01/2024 01:31;9900;9912;9900;9912
02/01/2024 01:32;9912;9924;9912;9924
02/01/2024 01:33;9924;9936;9924;9936
02/01/2024 01:34;9936;9948;9936;9948
02/01/2024 01:35;9948;9960;9948;9960
02/01/2024 01:36;9960;9972;9960;9972
